,location,total_cases
0,Afghanistan,224584507.0
1,Africa,13420754722.0
2,Albania,325133652.0
3,Algeria,296673909.0
4,American Samoa,6133408.0
5,Andorra,44667576.0
6,Angola,104662139.0
7,Anguilla,3216876.0
8,Antigua and Barbuda,8128994.0
9,Argentina,9900612585.0
10,Armenia,474593877.0
11,Aruba,40468090.0
12,Asia,224734767819.0
13,Australia,8244793406.0
14,Austria,4755015487.0
15,Azerbaijan,842489688.0
16,Bahamas,37459167.0
17,Bahrain,648761213.0
18,Bangladesh,2167738011.0
19,Barbados,85508739.0
20,Belarus,1010378329.0
21,Belgium,4308836749.0
22,Belize,63982760.0
23,Benin,28623855.0
24,Bermuda,15862870.0
25,Bhutan,48673840.0
26,Bolivia,1110634459.0
27,Bonaire Sint Eustatius and Saba,9977360.0
28,Bosnia and Herzegovina,416843641.0
29,Botswana,311998531.0
30,Brazil,36863068307.0
31,British Virgin Islands,6539883.0
32,Brunei,213590739.0
33,Bulgaria,1230348624.0
34,Burkina Faso,23841687.0
35,Burundi,46089201.0
36,Cambodia,137800690.0
37,Cameroon,136591509.0
38,Canada,4222732779.0
39,Cape Verde,64460344.0
40,Cayman Islands,25196822.0
41,Central African Republic,17512211.0
42,Chad,8431705.0
43,Chile,4580218947.0
44,China,50747677039.0
45,Colombia,6878557420.0
46,Comoros,8937098.0
47,Congo,26765576.0
48,Cook Islands,5115751.0
49,Costa Rica,1095997627.0
50,Cote d'Ivoire,95092628.0
51,Croatia,1188216917.0
52,Cuba,1092758958.0
53,Curacao,42420236.0
54,Cyprus,534461113.0
55,Czechia,4420159788.0
56,Democratic Republic of Congo,98408937.0
57,Denmark,2876539210.0
58,Djibouti,18402569.0
59,Dominica,13332273.0
60,Dominican Republic,677263680.0
61,Ecuador,1031561053.0
62,Egypt,550699244.0
63,El Salvador,198072223.0
64,Equatorial Guinea,18709986.0
65,Eritrea,10506703.0
66,Estonia,539705454.0
67,Eswatini,74414967.0
68,Ethiopia,531260424.0
69,Europe,213761182548.0
70,European Union,154432748680.0
71,Faeroe Islands,29237146.0
72,Falkland Islands,1407411.0
73,Fiji,65778425.0
74,Finland,1179453972.0
75,France,31728094678.0
76,French Guiana,91601817.0
77,French Polynesia,75734329.0
78,Gabon,52116969.0
79,Gambia,13748453.0
80,Georgia,1678550466.0
81,Germany,29885788751.0
82,Ghana,190339750.0
83,Gibraltar,18530825.0
84,Greece,4170296501.0
85,Greenland,10180199.0
86,Grenada,16399336.0
87,Guadeloupe,169494077.0
88,Guam,44771108.0
89,Guatemala,1102298415.0
90,Guernsey,27043608.0
91,Guinea,43293014.0
92,Guinea-Bissau,9820968.0
93,Guyana,68192644.0
94,Haiti,36563840.0
95,High income,354459578782.0
96,Honduras,500760241.0
97,Hungary,2070913543.0
98,Iceland,168632185.0
99,India,47980841517.0
100,Indonesia,6552440422.0
101,Iran,7803106638.0
102,Iraq,2642248005.0
103,Ireland,1524180901.0
104,Isle of Man,32199522.0
105,Israel,4249664259.0
106,Italy,21083695202.0
107,Jamaica,148009863.0
108,Japan,21496033634.0
109,Jersey,53849337.0
110,Jordan,1723436029.0
111,Kazakhstan,1495412642.0
112,Kenya,365504743.0
113,Kiribati,3522431.0
114,Kosovo,267673663.0
115,Kuwait,692586749.0
116,Kyrgyzstan,84868578.0
117,Laos,184095528.0
118,Latvia,821545393.0
119,Lebanon,1215144120.0
120,Lesotho,34970569.0
121,Liberia,8417555.0
122,Libya,521109736.0
123,Liechtenstein,18027942.0
124,Lithuania,1170642309.0
125,Low income,2369657994.0
126,Lower middle income,97864782748.0
127,Luxembourg,315821388.0
128,Madagascar,72945560.0
129,Malawi,91961501.0
130,Malaysia,4540860497.0
131,Maldives,177944008.0
132,Mali,33162960.0
133,Malta,106581174.0
134,Marshall Islands,9882811.0
135,Martinique,185269523.0
136,Mauritania,64022448.0
137,Mauritius,240199021.0
138,Mayotte,41926562.0
139,Mexico,7233352619.0
140,Micronesia (country),15199544.0
141,Moldova,605439971.0
142,Monaco,13988292.0
143,Mongolia,913031326.0
144,Montenegro,241919371.0
145,Montserrat,1002347.0
146,Morocco,1338241182.0
147,Mozambique,234820174.0
148,Myanmar,643397678.0
149,Namibia,176754642.0
150,Nauru,3454881.0
151,Nepal,1074770900.0
152,Netherlands,7684222791.0
153,New Caledonia,62641353.0
154,New Zealand,1583081975.0
155,Nicaragua,16812055.0
156,Niger,10307992.0
157,Nigeria,300239245.0
158,Niue,442830.0
159,North America,115764363998.0
160,North Macedonia,349290264.0
161,Northern Mariana Islands,11116103.0
162,Norway,1274376809.0
163,Oceania,10235411946.0
164,Oman,440846351.0
165,Pakistan,1740556331.0
166,Palau,4665693.0
167,Palestine,716967413.0
168,Panama,994518685.0
169,Papua New Guinea,44755437.0
170,Paraguay,736071703.0
171,Peru,4386324842.0
172,Philippines,4015183664.0
173,Pitcairn,2608.0
174,Poland,6402305094.0
175,Portugal,4761240535.0
176,Puerto Rico,952328993.0
177,Qatar,497157237.0
178,Reunion,396510551.0
179,Romania,3211539776.0
180,Russia,20513130229.0
181,Rwanda,133517892.0
182,Saint Barthelemy,4790133.0
183,Saint Helena,1265050.0
184,Saint Kitts and Nevis,5750765.0
185,Saint Lucia,26627095.0
186,Saint Martin (French part),10977936.0
187,Saint Pierre and Miquelon,2585852.0
188,Saint Vincent and the Grenadines,8930915.0
189,Samoa,12128793.0
190,San Marino,20612537.0
191,Sao Tome and Principe,6534159.0
192,Saudi Arabia,928549054.0
193,Senegal,96987312.0
194,Serbia,2302178397.0
195,Seychelles,45836040.0
196,Sierra Leone,8918090.0
197,Singapore,1844001640.0
198,Sint Maarten (Dutch part),10326629.0
199,Slovakia,1684975626.0
200,Slovenia,1138309747.0
201,Solomon Islands,17433064.0
202,Somalia,29319835.0
203,South Africa,4320698484.0
204,South America,67233060925.0
205,South Korea,22511600510.0
206,South Sudan,19795776.0
207,Spain,13020031419.0
208,Sri Lanka,676845517.0
209,Sudan,69912366.0
210,Suriname,78785869.0
211,Sweden,2619826538.0
212,Switzerland,3768596451.0
213,Syria,59271053.0
214,Tajikistan,22739289.0
215,Tanzania,38557841.0
216,Thailand,4093118823.0
217,Timor,23271902.0
218,Togo,39313947.0
219,Tokelau,25126.0
220,Tonga,12069166.0
221,Trinidad and Tobago,163735562.0
222,Tunisia,1128131829.0
223,Turkey,16047722697.0
224,Turks and Caicos Islands,6447433.0
225,Tuvalu,1543153.0
226,Uganda,175798411.0
227,Ukraine,5328390912.0
228,United Arab Emirates,1100218230.0
229,United Kingdom,22498257231.0
230,United States,96501732018.0
231,United States Virgin Islands,21340263.0
232,Upper middle income,189462463380.0
233,Uruguay,933738389.0
234,Uzbekistan,158453768.0
235,Vanuatu,8834161.0
236,Vatican,35978.0
237,Venezuela,572285479.0
238,Vietnam,9191035451.0
239,Wallis and Futuna,2286390.0
240,World,645155479259.0
241,Yemen,12886289.0
242,Zambia,341810783.0
243,Zimbabwe,251860089.0
